"";"N'a pas internet";"Pas vigilant";"Peu vigilant";"Très vigilant";"Total"
"AE ACCE";17,4193548387097;4,51612903225806;32,9032258064516;45,1612903225806;100
"Au foyer";15,2941176470588;7,64705882352941;31,1764705882353;45,8823529411765;100
"CPIS";7,10382513661202;4,6448087431694;33,879781420765;54,3715846994536;100
"Employé";12,5827814569536;6,75496688741722;35,4966887417219;45,1655629139073;100
"Inactif";12,5619834710744;7,76859504132231;36,0330578512397;43,6363636363636;100
"Ouvrier";12,7562642369021;9,56719817767654;32,3462414578588;45,3302961275626;100
"PI";11,0565110565111;8,10810810810811;34,6437346437346;46,1916461916462;100
"Retraités";38,1507381507381;3,34110334110334;19,8135198135198;38,6946386946387;100
"Ensemble";20,1242829827916;6,04684512428298;29,9235181644359;43,9053537284895;100
